entity_id,state,last_changed
sensor.xiao_sensor_xiao_12d7dc_battery,100.0,2026-07-29T00:00:00.000Z
sensor.xiao_sensor_xiao_12d7dc_battery,96.8,2026-07-29T01:07:17.309Z
sensor.xiao_sensor_xiao_12d7dc_battery,100.0,2026-07-29T01:07:28.570Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.6,2026-07-29T01:07:39.728Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.8,2026-07-29T01:07:51.118Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.6,2026-07-29T01:08:02.276Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.8,2026-07-29T01:09:20.713Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.4,2026-07-29T01:09:31.929Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.6,2026-07-29T01:10:06.041Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.4,2026-07-29T01:10:50.873Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.6,2026-07-29T01:11:13.525Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.4,2026-07-29T01:11:24.749Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.6,2026-07-29T01:11:36.216Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.2,2026-07-29T01:11:47.661Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.4,2026-07-29T01:11:58.875Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.2,2026-07-29T01:12:10.040Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.4,2026-07-29T01:12:21.242Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.6,2026-07-29T01:12:43.894Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.4,2026-07-29T01:13:07.590Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.2,2026-07-29T01:13:30.189Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.4,2026-07-29T01:13:41.678Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.2,2026-07-29T01:13:53.057Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.4,2026-07-29T01:14:15.394Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.2,2026-07-29T01:14:26.583Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.4,2026-07-29T01:14:38.017Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.2,2026-07-29T01:15:11.850Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.4,2026-07-29T01:15:57.011Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.2,2026-07-29T01:16:08.217Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.0,2026-07-29T01:16:19.453Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.2,2026-07-29T01:16:30.646Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.0,2026-07-29T01:17:04.236Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.8,2026-07-29T01:17:15.398Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.4,2026-07-29T01:17:26.669Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.2,2026-07-29T01:17:37.873Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.0,2026-07-29T01:17:49.084Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.2,2026-07-29T01:18:46.379Z
sensor.xiao_sensor_xiao_12d7dc_battery,99.0,2026-07-29T01:18:57.542Z
sensor.xiao_sensor_xiao_12d7dc_battery,98.8,2026-07-29T01:20:27.397Z
