entity_id,state,last_changed
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T19:00:00.000Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T19:05:38.444Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T19:05:49.601Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T19:07:08.036Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T19:07:30.441Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T19:07:41.798Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T19:08:04.118Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T19:08:26.850Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T19:08:38.251Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T19:09:00.739Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.03,2026-07-24T19:09:11.952Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T19:09:34.313Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T19:15:23.161Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T19:15:34.382Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T19:16:30.496Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.04,2026-07-24T19:16:53.090Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T19:17:15.552Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.06,2026-07-24T19:21:46.485Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T19:21:57.650Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.06,2026-07-24T19:22:42.551Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T19:22:53.953Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.06,2026-07-24T19:23:05.153Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T19:23:16.568Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.06,2026-07-24T19:24:12.496Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.05,2026-07-24T19:24:23.910Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.06,2026-07-24T19:24:35.326Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.07,2026-07-24T19:28:09.000Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.06,2026-07-24T19:28:20.424Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.07,2026-07-24T19:28:53.969Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.06,2026-07-24T19:29:39.252Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.07,2026-07-24T19:29:50.419Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.08,2026-07-24T19:33:46.981Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.07,2026-07-24T19:34:09.379Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.08,2026-07-24T19:34:43.589Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.09,2026-07-24T19:37:55.465Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.08,2026-07-24T19:38:06.633Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.09,2026-07-24T19:38:28.978Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.1,2026-07-24T19:42:23.958Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.09,2026-07-24T19:42:35.119Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.1,2026-07-24T19:42:57.499Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T19:46:19.779Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.1,2026-07-24T19:46:53.491Z
sensor.xiao_sensor_xiao_12d7dc_battery_voltage,4.11,2026-07-24T19:47:04.952Z
